Type_of_Renewable_Energy,Installed_Capacity_MW,Energy_Production_MWh,Energy_Consumption_MWh,Energy_Storage_Capacity_MWh,Storage_Efficiency_Percentage,Grid_Integration_Level,Initial_Investment_USD,Funding_Sources,Financial_Incentives_USD,GHG_Emission_Reduction_tCO2e,Air_Pollution_Reduction_Index,Jobs_Created
2,100.27,253130.94,126049.02,8838.24,99.32,1,382641761.50,1,3249707.66,31575.11,39.72,728
7,742.74,455186.29,147269.25,9715.39,93.17,2,429556596.80,3,238146.70,20684.64,71.07,472
1,437.88,4152.56,95086.81,5337.34,72.90,3,486164401.10,3,8602228.38,31088.31,6.78,3209
2,816.84,172378.05,76794.88,8336.61,56.44,1,319204795.40,1,7193881.83,28433.01,15.45,3736
2,666.15,133162.34,289131.35,2317.00,59.16,4,149864828.50,1,9097246.94,5898.94,78.38,4760
3,663.15,222436.56,334814.97,3691.50,65.20,1,27865024.50,1,5598280.70,29611.95,44.70,737
5,438.33,470561.23,53052.38,9273.21,68.62,1,139684923.90,3,1932688.21,264.18,91.55,816
6,962.39,270282.38,131116.46,4528.18,91.73,2,60500670.81,1,14046100.20,4318.58,58.64,4186
3,859.81,264048.33,347957.16,3911.50,73.56,4,259093494.70,1,13518819.54,18600.03,14.88,2568
4,917.65,88501.87,75735.24,3717.52,53.85,1,454362000.00,1,10812259.69,12441.01,56.55,1599
2,799.82,431930.47,235432.97,217.07,77.49,4,132337438.40,3,8403971.31,49481.82,48.57,1486
4,656.26,31093.25,393590.14,1817.31,95.88,1,256199621.70,2,1185014.93,36881.43,27.99,2532
5,196.74,76023.95,209369.92,7632.02,74.01,2,498911353.20,3,806908.52,34702.77,70.25,1238
5,127.46,83170.57,332545.00,2704.17,84.98,2,264672003.80,2,10786166.70,7480.40,35.48,4185
2,709.39,68064.47,157431.90,7415.99,54.93,3,182527613.80,3,5357895.24,45177.39,13.83,4816
7,321.60,396644.73,69710.20,8906.99,80.64,1,263322241.20,2,5906716.06,35074.26,14.58,4728
4,932.40,162119.72,272728.02,1512.16,55.13,1,225973384.90,1,8310857.53,42627.83,53.27,1154
2,387.67,271103.26,86831.72,4458.61,98.22,1,53385813.67,3,12902694.80,5420.39,33.07,4817
2,926.01,87004.86,440448.84,5467.57,66.25,1,325421503.80,2,3805455.52,34990.04,37.27,848
2,971.54,197637.63,326732.93,5203.21,92.63,1,295097159.50,3,18310642.29,31437.30,64.20,2372
5,304.92,44187.31,339678.81,4338.61,75.32,4,377419265.50,2,11149648.22,25681.48,67.41,3974
2,933.12,149969.18,156450.15,1268.98,64.53,3,271043310.50,1,14118502.43,26325.89,82.96,128
7,120.49,122304.15,269590.37,1274.16,66.63,4,42724610.86,2,10342756.65,29405.56,30.51,947
6,758.43,483892.93,420905.95,1509.67,74.23,4,214331576.00,1,6007441.13,22403.49,98.29,4029
4,939.24,368907.44,191184.95,789.58,71.64,1,42881386.40,1,9638901.86,34910.79,99.09,1933
6,960.13,418816.27,449121.78,2991.42,95.83,3,412016427.60,3,8358812.10,23358.12,61.64,3774
5,211.69,23588.38,322712.01,4981.42,94.71,1,254913385.80,3,6284861.16,2752.99,78.63,2185
2,488.93,313121.99,375083.98,560.89,80.33,2,231264906.40,1,11705461.22,9761.46,81.64,833
6,975.37,236500.22,152833.65,252.57,82.37,2,230577435.20,3,19580273.39,22252.66,23.15,1363
5,100.00,271308.98,105752.13,9545.42,95.59,2,265854332.20,1,18347478.04,33616.60,6.90,469
7,904.40,79466.45,73641.28,1988.02,99.99,2,398045284.00,2,13345005.36,12809.66,81.38,2548
6,723.06,218393.45,112010.07,9337.18,54.82,3,70358031.41,3,2214133.65,23438.05,79.68,2398
3,600.32,469818.43,126179.98,3674.66,73.88,3,246358554.50,2,19164967.19,40817.75,30.11,1979
6,571.91,286588.83,425799.97,9885.32,65.88,3,17491027.41,2,4743610.02,14915.69,45.05,3183
4,831.88,225790.22,335891.11,9201.09,80.36,3,433519494.00,2,14772353.51,13767.91,87.05,4727
3,149.23,116401.57,263841.80,1342.94,89.55,2,1552573.36,2,16372187.09,48065.23,91.15,4247
1,724.63,437521.57,313749.51,1802.35,53.05,2,221585140.10,1,7775664.03,39349.83,90.03,2767
6,527.64,68764.19,198927.09,908.76,90.96,3,4264453.08,1,18327255.90,17599.40,40.05,770
5,681.25,447994.86,150254.76,7967.15,74.07,1,217177549.00,3,3984690.48,23870.58,7.12,4378
3,25.72,240070.01,244438.84,607.16,90.69,4,316365757.70,1,10290950.11,40791.59,3.29,3824
1,242.73,406258.79,59995.97,9011.90,64.45,2,70742698.84,1,15188327.48,33060.48,17.79,2386
2,277.60,48171.47,393127.76,2577.22,78.86,3,389529236.90,3,350262.37,39606.78,20.57,4991
1,637.03,79096.32,179967.13,9086.68,74.46,4,463207037.20,2,16581803.74,6927.78,60.03,3337
2,351.73,125500.28,83533.31,3668.37,84.77,2,325976197.50,2,18447356.65,6446.18,93.59,2375
6,458.62,19920.04,178601.00,2248.95,90.61,1,145744262.10,2,7374689.93,24414.41,39.55,859
6,678.65,255474.93,25671.71,1776.35,86.35,1,129047624.20,1,6592405.17,16889.85,14.79,4668
7,200.69,255696.79,174931.22,4284.96,52.08,3,390855887.00,1,4739805.40,36280.69,3.54,4788
7,373.91,273854.10,242116.56,6694.96,86.79,2,338757766.80,3,17190290.94,49211.40,23.98,1388
3,31.55,358991.25,440430.20,8015.16,76.32,4,220380328.60,3,1735250.82,44830.83,96.74,1699
5,3.94,341552.99,261971.40,2482.87,83.48,2,104990469.10,3,16340543.71,11009.20,36.17,295
4,506.88,383975.11,134504.14,458.48,86.14,3,445355000.10,3,19862463.12,23275.71,9.49,4986
5,406.67,341960.37,405519.35,5446.89,87.77,4,292179300.40,2,16440573.43,46212.46,10.80,2202
3,954.45,321503.90,259482.92,1793.03,94.32,4,355287017.20,2,8498279.56,49368.34,34.23,3751
3,650.29,377231.57,402367.52,8506.83,75.66,1,88834468.58,3,12744257.61,18398.65,24.29,3396
4,437.86,374902.80,13247.90,1901.70,71.49,4,277320278.40,1,1753104.03,15236.38,49.91,4346
6,258.63,423937.06,156298.58,6568.85,81.57,2,42634539.29,2,18327558.31,5236.22,8.28,3593
6,143.38,162599.01,212059.83,7322.30,79.62,3,222193237.30,3,17199367.42,27512.54,68.66,2504
7,869.69,356274.00,109221.36,8317.88,91.08,4,113806699.30,3,11365011.40,19729.48,31.62,2599
6,302.87,29277.33,96482.90,2102.58,59.62,4,337273888.30,1,19203003.97,9780.97,92.43,4555
6,24.20,328825.32,340489.69,6217.27,65.01,3,283802755.10,3,8905773.33,41902.33,48.53,3958
6,693.90,395516.88,20061.51,9778.93,63.96,1,340455844.10,2,18194574.11,48266.68,49.81,3071
1,523.33,8523.58,257574.56,4184.54,96.52,4,110779587.10,2,15101537.34,34874.46,40.54,3667
2,99.81,18161.92,400507.35,9508.82,65.24,2,382076388.80,2,9730621.83,28689.29,65.71,2188
2,115.61,303775.55,345604.02,3417.88,58.24,3,419974409.30,3,1943258.76,9371.87,60.08,2570
1,3.81,291569.62,187456.93,260.12,68.78,1,292235215.60,2,17431014.20,25375.66,57.58,985
7,942.22,308105.77,60342.37,7660.01,55.33,2,296955528.50,2,3799462.21,41436.24,54.14,242
4,947.25,85166.88,6212.26,2422.24,91.32,2,351913820.20,3,2546276.51,4733.81,97.08,551
4,198.70,30514.31,442512.58,8409.08,85.99,3,243069419.20,3,16774353.45,2687.17,74.95,2147
6,881.33,171029.93,232079.37,1046.78,65.21,3,32068168.04,2,11500174.86,41748.56,17.82,2874
6,70.04,438918.68,200616.90,8079.39,69.89,3,371307007.80,2,12636072.05,6853.24,94.15,3591
5,709.09,426387.56,337018.11,3658.45,70.73,3,293426648.70,2,1677832.67,27659.90,86.84,4266
3,691.49,282108.47,174649.53,1725.39,55.08,1,447908631.50,2,6736675.55,30298.76,91.56,4229
1,577.34,90285.96,220351.60,2365.97,76.48,4,450623002.00,3,7840516.50,2560.64,91.83,605
6,337.48,199671.89,120988.46,2726.58,77.15,4,342318569.90,1,1861727.79,44576.10,67.01,1730
1,547.84,42348.76,3438.75,2148.56,60.68,4,211411931.40,1,1311498.73,28095.45,37.56,3105
4,382.55,497064.59,338662.35,1905.43,84.35,2,183538136.40,3,9107501.48,15009.85,70.75,2271
2,30.45,327220.97,244523.62,7418.32,76.19,3,258738829.70,3,17434435.53,26401.58,83.40,4913
4,620.89,241487.09,78146.23,4986.48,82.71,2,218550920.80,3,11217802.29,23970.80,83.68,1030
7,136.54,469866.79,249012.12,3317.36,78.13,3,299850287.90,2,16920043.22,43879.25,51.26,982
4,570.58,363320.67,286693.09,5932.30,80.31,1,331590238.00,2,4482893.60,20096.34,10.73,942
6,72.12,33472.89,213031.76,5493.97,93.02,4,389638870.90,1,5356881.53,47653.32,59.25,2770
5,786.50,481785.60,429922.60,5481.56,50.01,1,116945722.70,2,9376096.35,3373.46,56.62,1280
3,878.98,297813.29,441762.83,793.95,85.76,1,311765142.00,2,19429544.72,37220.69,25.50,4964
5,187.88,26274.39,278678.47,8350.77,57.30,4,230706882.90,1,3377788.08,1897.91,16.98,2819
7,578.97,205939.04,805.27,2271.55,84.70,4,34172350.17,3,19012377.40,32533.53,24.31,3873
1,781.88,60875.42,429689.73,603.65,97.24,1,324987070.10,3,7901595.56,48149.13,9.26,3848
6,307.38,449644.49,69738.07,6868.55,95.04,3,327019094.50,3,2826590.75,12768.08,99.59,2175
5,449.43,187350.65,269810.27,8881.74,97.96,1,176897631.50,2,17000868.68,37845.49,84.41,488
7,939.89,190189.80,5813.56,9539.42,68.78,4,163088239.50,3,2090193.02,38564.04,25.42,4683
4,307.11,255794.13,302605.31,6424.23,57.10,1,499930442.70,3,17293341.25,49411.90,91.21,1288
3,773.37,227957.62,445309.43,3854.33,87.55,2,259745185.10,2,18323915.61,39263.72,61.56,334
1,576.16,199615.02,443123.27,4453.08,61.37,1,450715587.20,3,14176685.18,37413.63,63.60,770
1,914.93,35649.26,357990.84,1488.55,65.55,1,52517600.89,3,3865900.15,36539.46,87.89,3707
6,646.22,436368.35,340496.50,2913.21,94.39,1,335017498.60,3,19403217.77,21413.38,98.62,3184
6,426.64,410304.74,301533.84,6207.33,99.49,3,81054575.90,3,8515215.13,23355.24,33.24,580
4,685.41,365729.41,56350.78,4101.85,79.13,3,28435179.43,3,16574028.48,42488.84,88.96,3764
5,645.48,192070.78,250258.71,6176.10,73.41,2,291619713.90,1,13425764.27,25591.19,6.50,3754
1,674.20,408364.13,192016.46,7253.20,63.77,4,263561619.70,1,7950537.30,1101.23,74.93,921
5,713.80,116859.77,175109.04,9675.09,56.43,1,239868182.90,3,18235073.80,41965.22,50.97,2470
4,390.94,114530.14,233262.58,6604.47,89.08,1,163636800.10,2,11871437.26,45000.23,65.87,1836
1,277.50,278268.07,358998.16,8588.97,91.77,4,188919755.50,2,8167152.05,3611.67,7.74,2553
6,315.20,258329.18,342587.35,9736.26,84.35,3,451074018.40,3,17170708.84,5844.67,64.57,4013
3,393.88,266446.89,240950.69,4216.38,91.91,3,412992742.20,3,1525117.52,503.26,96.26,2041
7,385.90,132102.44,187825.32,7141.74,51.46,1,84666488.79,2,15116196.82,6495.98,74.16,2229
3,966.30,19118.98,299361.05,3795.35,97.19,2,280686668.90,3,16871475.97,39266.08,26.78,1170
2,301.96,238778.29,360391.68,2008.16,95.43,3,422831938.20,1,16341942.37,20542.78,29.12,3758
1,393.70,142727.25,267069.08,4114.88,72.96,4,255057609.60,1,8267420.50,41444.32,26.82,1547
1,208.26,400019.83,152375.80,8853.07,96.73,1,9408360.03,1,17877046.24,45058.79,28.04,319
2,722.37,485174.70,351253.53,1281.02,79.76,2,459126172.40,1,2808657.38,13415.26,48.46,2768
4,479.84,12944.76,397942.09,4580.17,94.63,2,209843209.30,1,16286002.50,44720.70,73.15,2382
3,534.19,271001.22,34684.56,4213.30,72.24,2,10227819.36,1,3944830.69,21582.35,4.75,4809
3,437.03,421309.23,5739.78,2167.41,83.62,3,70100442.05,3,5773329.53,18644.92,64.12,4760
6,454.48,296844.47,318670.32,4555.83,80.40,2,248071132.10,3,11229445.62,27265.13,67.75,1029
5,500.77,63591.44,411586.15,1839.15,56.11,1,8426925.50,1,2104623.65,43027.11,19.72,2767
7,927.43,483455.27,61535.32,9008.00,74.08,1,450932642.70,2,2554021.00,42471.43,15.47,682
4,298.15,254112.92,37589.32,8558.89,82.81,1,339797591.10,2,11123377.86,3576.36,10.97,675
7,234.34,145237.73,249289.70,2204.52,78.37,2,161571643.30,3,3621265.34,21440.83,51.97,3121
4,304.59,105054.86,192836.86,4728.74,72.18,1,141515558.40,1,7571808.94,10666.34,90.51,3895
5,889.86,300481.65,116145.09,2807.59,88.34,3,319557050.00,1,1387515.21,46870.39,6.24,2885
2,460.54,493714.04,295996.91,2501.77,84.45,2,72017041.66,1,3172668.06,41952.61,37.96,1256
6,67.73,211710.41,120389.02,6726.61,72.19,3,147474604.30,1,680646.08,27274.90,17.28,3142
5,380.26,54587.36,302732.68,326.80,55.43,4,349816556.30,1,15561505.51,5547.13,59.29,1654
6,150.68,154320.30,331317.48,508.10,92.70,4,277804072.00,1,14578409.34,24839.94,34.76,2868
7,774.48,150365.77,306200.67,5841.19,53.98,3,66920045.38,2,18056518.46,23007.73,14.49,2266
4,701.18,156869.33,441649.55,1380.72,58.26,1,65739320.57,3,11762727.17,5391.66,44.35,331
4,349.64,62842.30,60854.00,7294.55,83.41,1,51645969.55,2,8032059.92,4784.69,87.58,3901
4,649.59,296744.31,89888.44,4743.28,62.59,4,103806876.70,1,18992804.56,45059.94,85.48,788
3,754.20,81289.58,24543.89,2637.35,87.02,4,106602196.30,3,13601343.54,30320.46,49.78,218
1,327.98,140968.02,148205.34,3411.17,68.50,2,212163839.60,2,18403483.66,39311.45,55.28,3463
7,73.73,128560.50,428207.34,1978.90,87.75,4,62409092.15,3,17967713.98,23284.77,84.16,1320
6,837.67,228512.45,376252.13,6453.74,87.60,2,117130265.40,2,1169015.83,48647.31,54.36,554
5,716.65,105717.79,296886.04,7843.44,78.81,2,331664800.70,2,4333885.06,46938.34,99.13,2689
2,994.06,385881.67,210569.34,8389.46,71.68,3,366718549.80,2,12170470.44,25032.24,26.34,2771
4,103.10,426749.79,431239.94,3599.54,68.65,3,459996214.60,1,4349238.93,5797.86,87.81,3668
3,846.29,395145.46,244930.67,6488.67,91.34,4,10074618.17,1,10546402.97,46123.30,77.22,4988
7,726.00,357931.59,177561.73,9423.48,67.13,2,158705439.30,2,5262444.26,33599.37,77.61,4007
1,979.37,434548.60,229080.72,6981.95,57.37,3,395653962.30,1,13479753.76,49417.86,53.89,2909
4,284.46,408524.12,249987.10,7636.54,54.03,4,339243768.30,3,1342607.29,43036.36,44.88,922
5,361.03,156522.37,136578.87,1812.02,89.22,1,304871742.00,1,16028329.07,20311.56,49.86,71
5,230.41,389696.47,92441.41,1723.89,70.51,4,285335871.80,1,3474253.31,33118.81,10.76,581
4,201.92,101442.24,79195.84,4412.62,53.53,1,498683035.80,3,802687.16,42448.01,20.95,1959
1,490.21,121395.48,121383.47,7241.94,79.65,4,336831072.30,2,17895440.25,16224.45,79.59,274
3,594.23,146188.94,416674.53,6432.08,50.42,2,68987313.02,3,18026335.36,25965.46,78.20,906
5,386.26,472865.28,27300.07,398.10,52.41,2,421623370.30,2,7382688.64,5683.40,59.09,194
4,90.26,155830.34,294797.63,1607.26,59.09,3,450665182.80,3,6659072.46,28768.64,84.89,1811
5,456.81,437489.14,72384.79,1306.41,75.24,4,34743280.72,1,8287472.35,11555.38,19.13,4494
5,15.00,153833.56,435898.21,4475.54,64.49,2,265628344.40,2,10254612.33,20822.93,64.18,3125
1,889.32,331483.92,386069.27,2475.92,95.75,1,430499212.20,3,10472231.63,47358.69,96.23,2374
4,897.92,260969.34,368688.97,6633.81,86.77,3,88304634.23,2,5027139.16,7821.66,58.55,2028
5,200.75,106128.37,173641.84,2195.60,59.43,4,187052946.00,3,14092321.48,49433.68,20.90,388
7,550.13,90571.94,14565.87,8360.39,85.99,4,267602002.20,1,6619372.86,11800.47,38.84,611
6,604.95,329392.61,257916.54,9793.47,91.88,2,242110771.30,2,19206871.48,2067.94,17.20,913
6,440.03,46313.68,289640.99,8716.00,97.89,4,477289804.40,2,8501134.83,43807.04,76.18,4330
2,310.88,165090.55,147854.30,6347.60,90.55,3,63223145.86,1,3358714.20,42364.09,17.40,1021
7,755.82,432843.66,60216.00,1651.33,60.15,3,462162848.40,3,1975223.66,11858.71,30.98,4617
3,455.90,164934.63,66535.94,5305.32,95.34,2,41590082.60,2,5743274.51,38244.47,80.00,4788
6,423.03,62978.27,255393.49,8657.85,63.01,1,473531930.00,1,4622624.50,5769.32,54.73,1403
7,427.23,446279.29,203905.24,1633.83,60.41,2,28800297.69,3,13686745.80,10364.17,55.75,2693
4,393.61,115925.12,61054.37,7611.88,83.87,4,411318931.50,2,7473393.75,15248.18,4.91,2028
3,776.15,477723.48,422507.21,8526.76,94.68,4,399860533.30,2,8708224.40,11701.69,29.49,2959
2,653.67,183900.38,65807.02,8365.24,68.60,1,42471296.06,3,8583026.83,46254.19,92.79,2912
7,540.64,458624.09,248407.32,5828.69,77.65,4,75516983.27,2,6834470.74,34748.01,94.52,910
5,489.40,376366.11,199259.90,5995.14,52.18,4,43238006.75,2,19269099.78,34117.96,7.35,2808
7,317.76,145198.28,380945.63,2543.94,84.41,2,90979744.85,1,18809609.88,15706.26,38.79,510
3,935.59,425287.40,162184.23,2402.03,67.00,4,334270414.80,1,10606614.04,48765.99,11.34,1521
3,972.80,78766.83,235387.91,530.94,54.75,4,300326619.10,3,4186110.00,156.05,40.41,513
6,848.31,310506.67,259950.77,2043.48,97.88,3,229095159.60,1,8897763.87,32237.62,49.90,3934
7,400.25,397129.65,195166.75,3123.87,90.68,3,32203865.54,3,12481266.06,31112.08,63.78,3699
1,909.08,101968.24,147580.13,5322.15,80.07,4,294844747.90,2,7701166.10,27508.52,19.47,277
7,249.51,255009.27,117204.40,4936.41,83.31,3,359950103.10,3,13173619.62,31553.48,38.05,3332
5,334.27,377438.68,120041.05,7509.81,91.66,3,407163573.40,1,10412871.43,28275.55,53.04,3520
4,710.63,72122.55,178680.91,2088.13,62.29,1,224004399.00,3,17724061.29,16709.62,85.80,3702
3,487.09,84489.96,220583.07,3913.97,95.96,1,468234802.40,3,9264445.83,34500.24,73.61,4619
4,263.43,32164.51,167691.53,4625.89,76.33,3,325820715.50,3,9297638.39,6530.06,9.52,4354
6,505.61,153434.48,318264.62,3181.79,98.39,3,209611425.70,2,15182330.23,3537.10,4.71,148
6,76.07,448460.82,432949.44,9762.54,51.81,4,286242985.20,1,16819671.92,12016.55,25.60,2696
3,529.55,331992.84,372851.94,8678.17,83.32,1,279725783.50,2,12873429.86,21860.86,30.67,831
4,478.99,245519.93,36956.40,8903.38,73.80,1,39081856.92,1,12328856.59,28611.47,84.64,4523
2,717.54,352843.35,428449.08,3963.87,88.96,3,272822177.70,1,11906205.06,39386.86,63.59,214
6,55.31,140943.59,175521.24,3295.74,64.52,1,337521370.60,3,8867379.43,36373.96,48.02,959
1,444.99,444185.39,280947.04,117.59,87.13,4,95011396.96,1,17087650.65,14736.86,77.00,4720
7,373.91,325973.25,97887.47,4458.74,86.45,3,429060310.20,2,8398191.25,13362.58,57.86,109
7,567.38,153933.19,327938.06,3310.72,97.63,2,62479331.20,1,1590304.01,17554.78,72.48,2088
3,196.71,148272.01,376074.16,6962.16,67.83,4,332645625.70,2,7386964.13,40197.74,16.86,1701
2,85.05,237959.21,246582.11,6374.51,73.82,2,171395542.40,2,14179763.77,39095.70,67.74,2782
5,505.81,143864.50,355947.01,3842.10,78.24,3,348644135.20,1,19371392.52,37764.36,20.24,1973
3,363.59,43390.67,98685.85,3230.08,57.63,3,337884964.50,3,5681159.88,40569.38,61.15,3916
5,349.80,470779.87,328932.06,5703.22,79.98,4,462890135.80,3,8023677.41,40542.43,42.11,3640
6,45.91,323910.33,80453.93,6793.17,95.31,1,64176627.35,2,4783309.94,33941.77,63.06,3667
5,63.05,202474.38,72697.91,9181.71,56.87,2,375652854.70,1,3362054.32,18124.35,20.37,2426
4,86.91,321646.20,57296.21,4776.43,92.75,2,285226315.20,1,5760324.62,41984.25,34.91,1780
1,795.34,379649.42,77972.60,7308.08,77.75,4,200484526.20,3,3269276.75,9427.99,8.97,4975
5,344.48,361800.19,241949.24,6099.51,79.49,3,256521956.80,2,13868045.73,40918.52,40.85,362
5,988.90,431406.64,401837.83,3412.87,85.62,2,153659789.50,2,12669667.97,18942.18,57.62,4313
6,666.24,455103.81,169074.44,452.13,78.21,3,428008841.70,2,587988.69,33444.81,14.96,4716
3,545.15,254571.53,442365.01,4176.62,98.10,3,286720167.70,3,16160846.32,48389.52,39.82,2140
5,674.09,366169.71,260889.31,6731.88,63.34,2,165453537.80,2,5905805.27,34588.15,79.54,2289
7,290.43,404558.27,92391.07,2183.58,52.72,2,257239065.30,2,3760223.99,1548.15,42.23,4518
2,827.59,465831.73,97145.35,6289.35,84.31,3,176564166.60,2,6264949.61,24671.19,12.81,2336
6,347.13,388775.36,260087.00,6329.07,83.62,3,327769426.60,2,6510685.66,5914.75,42.17,1053
7,926.40,214143.49,141708.81,3895.25,51.28,1,473410835.40,3,10165169.86,13122.60,68.35,107
6,13.29,164681.89,427169.90,9692.39,57.54,2,452484471.30,1,3448201.24,1881.21,22.36,3283
7,683.01,327071.77,62516.71,9904.65,55.79,1,423035336.80,2,1709578.19,2360.39,13.24,4592
